uid,Age,Gender,Preferred Positions,Nationality,LivingIn,Experience,Languages Known,Skills,Created date,Last access
158956,29,Female,"Cashier, Cocktail Waiter/Waitress, Host/Hostess, Reservations, VIP Waiter/Waitress, Waiter /Waitress",Philippines,United Arab Emirates,2 years,"English, Filipino","Adaptability, Communication Skills, Confidence, Creativity, Flexibility, Interpersonal Skills, Management Skills, Organisation Skills, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",07/04/2019,06/23/2020
205120,28,Female,"Host/Hostess, Personal Assistant, Sales, Cabin Crew, Customer Service, Guest Relations Agent",Nigeria,United Arab Emirates,2 years,English,"Adaptability, Commercial Awareness, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, Language Skills, Leadership  Skills, Management Skills, Marketing Skills, Negotiation Skills, Organisation Skills, Perseverance, Persuading, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",02/09/2020,06/23/2020
145861,28,Male,"Cashier, Floor Supervisor, VIP Waiter/Waitress, Waiter /Waitress",Philippines,United Arab Emirates,5+ years,English,"Adaptability, Commercial Awareness, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, IT Skills, Language Skills, Leadership  Skills, Management Skills, Marketing Skills, Negotiation Skills, Numeracy Skills, Organisation Skills, Perseverance, Persuading, Proactive, Problem Solving, Self Motivated, Team Work Skills, Technical Skills, Time Management, Work Under  Pressure, Written Communication",04/01/2019,06/23/2020
108713,27,Female,"Assistant Club Manager, Brand ambassador, Floor Supervisor, Host/Hostess, Personal Assistant, Sales Coordinator",Philippines,United Arab Emirates, 4 years,"English, Tagalog","Adaptability, Communication Skills, Confidence, Flexibility, Interpersonal Skills, Marketing Skills, Numeracy Skills, Organisation Skills, Proactive, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",08/13/2018,06/23/2020
97232,25,Female,"Personal Assistant, Guest Relations Manager, Office Manager, Sales Manager",Ukraine,United Arab Emirates,3 years,"English, Russian","Communication Skills, Computing Skills, Confidence, Creativity, Flexibility, Language Skills, Problem Solving, Self Motivated, Team Work Skills, Work Under  Pressure",03/28/2018,06/23/2020
202088,29,Male,"Waiter /Waitress, Runner / Commis, Head Host/Hostess, VIP Waiter/Waitress",Philippines,United Arab Emirates,3 years,"English, Tagalog","Adaptability, Communication Skills, Computing Skills, Confidence, Creativity, Flexibility, Interpersonal Skills, Language Skills, Leadership  Skills, Management Skills, Self Motivated, Work Under  Pressure, Written Communication",01/19/2020,06/23/2020
203741,28,Female,"Sales, Administrations, Entertainer, Fitness Trainer, Office Manager, Real Estate Agent",Russia,United Arab Emirates,5+ years,"English, Russian",,01/29/2020,06/23/2020
198409,26,Male,"Waiter /Waitress, Sales, Assistant Club Manager, Assistant Restaurant Manager, Cabin Crew, Customer Service",Lebanon,United Arab Emirates,5+ years,"Arabic, English","Adaptability, Commercial Awareness, Communication Skills, Confidence, Creativity, Decision Making, Flexibility, Language Skills, Leadership  Skills, Management Skills, Marketing Skills, Proactive, Problem Solving, Team Work Skills, Time Management, Work Under  Pressure",12/24/2019,06/23/2020
179359,23,Female,"Administrations, Floor Supervisor, Front Of The House Manager, Guest Relations Agent, Guest Relations Manager, HR coordinator",United Arab Emirates,United Arab Emirates,2 years,"English, German, Russian, Ukrainian","Adaptability, Communication Skills, Computing Skills, Confidence, Creativity, Flexibility, Interpersonal Skills, IT Skills, Leadership  Skills, Negotiation Skills, Organisation Skills, Problem Solving, Self Motivated, Time Management, Work Under  Pressure",09/29/2019,06/23/2020
74318,39,Male,"Assistant General Manager, Club Manager, Events Manager, General Manager, Operations Manager, Restaurant Manager",United Kingdom,United Kingdom,10+ years,"English, Italian, Spanish","Adaptability, Commercial Awareness, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, IT Skills, Language Skills, Leadership  Skills, Management Skills, Marketing Skills, Negotiation Skills, Numeracy Skills, Organisation Skills, Perseverance, Persuading, Proactive, Problem Solving, Self Motivated, Team Work Skills, Technical Skills, Time Management, Work Under  Pressure, Written Communication",08/24/2017,06/23/2020
97445,31,Male,Waiter /Waitress,Morocco,United Arab Emirates,5+ years,"Arabic, English, French","Communication Skills, Computing Skills, Confidence, Creativity, Flexibility, IT Skills, Leadership  Skills, Problem Solving, Self Motivated, Team Work Skills, Work Under  Pressure",03/29/2018,06/23/2020
141424,44,Female,"Administrations, Customer Service, Events Coordinator, Guest Relations Manager, Office Manager, Receptionist",Ukraine,United Arab Emirates,20+ years,"English, Russian, Ukrainian","Adaptability, Communication Skills, Confidence, Decision Making, Flexibility, Interpersonal Skills, IT Skills, Language Skills, Management Skills, Organisation Skills, Problem Solving, Team Work Skills",02/27/2019,06/23/2020
146780,29,Female,"Personal Assistant, Administrations, Customer Service",Ireland,United Arab Emirates,5+ years,English,"Communication Skills, Computing Skills, Flexibility, Interpersonal Skills, Leadership  Skills, Organisation Skills, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",04/08/2019,06/23/2020
248040,39,Male,"Bartender / Barmaid, Waiter /Waitress, Receptionist, Cashier, Customer Service, Floor Supervisor",Philippines,United Arab Emirates,5+ years,"English, Filipino, Japanese","Confidence, Decision Making, Flexibility, Leadership  Skills, Management Skills, Problem Solving, Self Motivated, Team Work Skills, Work Under  Pressure",06/23/2020,06/23/2020
76229,34,Female,"Bar Manager, Bar Supervisor, Floor Manager, Floor Supervisor",Philippines,United Arab Emirates,5+ years,English,"Communication Skills, Computing Skills, Confidence, Flexibility, Management Skills, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",09/16/2017,06/23/2020
160474,24,Female,"Customer Service, Events Coordinator, Head Host/Hostess, Intern, Personal Assistant, Receptionist",Ukraine,United Arab Emirates,3 years,"English, Russian","Communication Skills, Language Skills, Organisation Skills, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management, Written Communication",07/11/2019,06/23/2020
196922,27,Male,"Waiter /Waitress, Assistant Restaurant Manager, Bar Supervisor, Barista, Floor Manager, Floor Supervisor",Albania,United Arab Emirates,3 years,"Albanian, English, Italian",,12/12/2019,06/23/2020
244483,26,Male,"Sales, Assistant General Manager, Bar Manager, Restaurant Manager, Sales Manager",South Africa,United Arab Emirates,5+ years,"Afrikaans, Dutch, English","Communication Skills, Creativity, Leadership  Skills, Negotiation Skills, Problem Solving, Time Management, Written Communication",06/14/2020,06/23/2020
240315,26,Male,"Host/Hostess, Waiter /Waitress, Receptionist, Customer Service, Sales Coordinator",Turkmenistan,United Arab Emirates,3 years,"English, Russian, Turkish","Adaptability, Computing Skills, Confidence, Flexibility, Self Motivated, Team Work Skills",06/05/2020,06/23/2020
247091,27,Male,"Bartender / Barmaid, Waiter /Waitress, Receptionist, Barista, Cashier, Customer Service",Cameroon,United Arab Emirates,5+ years,"English, French",,06/20/2020,06/23/2020
244824,44,Female,"Assistant Restaurant Manager, Club Manager, Restaurant Manager",Kazakhstan,United Arab Emirates,20+ years,"English, Russian",,06/15/2020,06/23/2020
248035,39,Male,"Personal Assistant, Chef, Customer Service, Gym Manager",Argentina,Argentina,10+ years,"English, Portuguese, International",,06/23/2020,06/23/2020
117264,26,Female,"Host/Hostess, Waiter /Waitress",Philippines,United Arab Emirates,2 years,English,"Communication Skills, Confidence, Creativity, Flexibility, Interpersonal Skills, Proactive",09/19/2018,06/23/2020
246766,34,Female,"Personal Assistant, Assistant General Manager, Cabin Crew, Customer Service",Romania,United Arab Emirates,10+ years,"English, Romanian","Communication Skills, Confidence, Decision Making, Interpersonal Skills, Leadership  Skills, Organisation Skills, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management",06/20/2020,06/23/2020
163220,25,Male,"Waiter /Waitress, Floor Supervisor, VIP Waiter/Waitress",Ghana,United Arab Emirates,5+ years,English,"Adaptability, Commercial Awareness, Communication Skills, Computing Skills, Confidence, Flexibility, Interpersonal Skills, Leadership  Skills, Proactive, Self Motivated, Team Work Skills, Time Management, Written Communication",07/21/2019,06/23/2020
248025,20,Female,"Host/Hostess, Waiter /Waitress, Cocktail Waiter/Waitress, Head Host/Hostess, Housekeeping, VIP Waiter/Waitress",Kenya,Kenya,2 years,"English, Swahili",,06/23/2020,06/23/2020
247694,32,Female,"Host/Hostess, Personal Assistant, Sales, Assistant General Manager, Assistant Restaurant Manager, Front Of The House Manager",Ireland,United Arab Emirates,5+ years,English,"Commercial Awareness, Communication Skills, Confidence, Decision Making, Leadership  Skills, Management Skills, Time Management, Work Under  Pressure, Written Communication",06/22/2020,06/23/2020
243212,31,Female,"Personal Assistant, Receptionist, Sales, Administrations, Assistant Reservation Manager, Brand ambassador",Russia,United Arab Emirates,5+ years,"English, Russian, Tatar","Communication Skills, Management Skills, Marketing Skills, Team Work Skills, Work Under  Pressure",06/11/2020,06/23/2020
189003,32,Male,"Club Manager, Entertainment Director, Events Manager",Lebanon,United Arab Emirates,5+ years,"Arabic, English, French","Communication Skills, Creativity, Flexibility, Management Skills, Negotiation Skills, Organisation Skills, Problem Solving, Team Work Skills, Time Management",11/02/2019,06/23/2020
135493,25,Female,"Host/Hostess, Waiter /Waitress, Assistant Reservation Manager, Floor Supervisor, Head Host/Hostess, VIP Waiter/Waitress",South Africa,United Arab Emirates,5+ years,"Afrikaans, Dutch, English","Adaptability, Commercial Awareness, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Language Skills, Leadership  Skills, Management Skills, Organisation Skills, Persuading, Team Work Skills, Work Under  Pressure, Written Communication",01/20/2019,06/23/2020
243742,35,Female,"Assistant Restaurant Manager, Bar Supervisor, Brand ambassador",Kenya,United Arab Emirates,10+ years,English,"Adaptability, Communication Skills, Confidence, Decision Making, Flexibility, Interpersonal Skills, Management Skills, Organisation Skills, Proactive, Problem Solving, Self Motivated, Technical Skills, Time Management, Work Under  Pressure",06/13/2020,06/23/2020
242743,26,Female,"Personal Assistant, Brand ambassador, Marketing Coordinator, Marketing Executive, Marketing Manager, Social Media Expert",Ukraine,United Arab Emirates,10+ years,"English, Russian","Adaptability, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, Language Skills, Management Skills, Marketing Skills, Organisation Skills, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",06/10/2020,06/23/2020
171503,27,Female,"Personal Assistant, Receptionist, Butler, Concierge, Guest Relations Agent, Reservations",Philippines,United Arab Emirates,3 years,"Arabic, English, Filipino","Communication Skills, Flexibility, Leadership  Skills, Management Skills, Team Work Skills, Time Management, Work Under  Pressure",08/26/2019,06/23/2020
174461,21,Female,"Host/Hostess, Waiter /Waitress, Barista, Cashier, Head Host/Hostess, VIP Waiter/Waitress",Uganda,United Arab Emirates,2 years,English,"Communication Skills, Confidence, Decision Making, Flexibility, Interpersonal Skills, Organisation Skills, Persuading, Proactive, Self Motivated, Team Work Skills, Time Management, Written Communication",09/08/2019,06/23/2020
180576,41,Female,"Assistant General Manager, Assistant Restaurant Manager, Customer Service, Floor Manager, General Manager, Guest Relations Manager",Norway,United Arab Emirates,10+ years,"English, Norwegian Bokmål, Polish, Russian","Adaptability, Communication Skills, Flexibility, Leadership  Skills, Management Skills, Marketing Skills, Self Motivated, Work Under  Pressure",10/03/2019,06/23/2020
126139,29,Male,Bartender / Barmaid,India,United Arab Emirates,5+ years,English,"Adaptability, Computing Skills, Confidence, Creativity, Flexibility, Management Skills, Proactive, Self Motivated, Team Work Skills, Work Under  Pressure",11/19/2018,06/23/2020
247203,31,Female,"Host/Hostess, Administrations, Events Manager, HR executive, HR Manager, Office Manager",Russia,Kyrgyzstan,10+ years,"English, Kyrgyz, Russian, Turkish","Adaptability, Communication Skills, Confidence, Creativity, Flexibility, Interpersonal Skills, Language Skills, Management Skills, Negotiation Skills, Organisation Skills, Team Work Skills, Written Communication",06/21/2020,06/23/2020
122964,28,Female,"Cocktail Waiter/Waitress, Host/Hostess, Receptionist, VIP Waiter/Waitress, Waiter /Waitress",Philippines,United Arab Emirates,3 years,"English, Filipino","Adaptability, Communication Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, Leadership  Skills, Management Skills, Negotiation Skills, Perseverance, Persuading, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",10/30/2018,06/23/2020
129520,35,Male,"Cocktail Waiter/Waitress, Dancer, Runner / Commis, VIP Waiter/Waitress, Waiter /Waitress",Philippines,United Arab Emirates,5+ years,"English, Tagalog","Adaptability, Flexibility, Problem Solving, Self Motivated, Team Work Skills, Work Under  Pressure",12/10/2018,06/23/2020
79830,31,Male,"Floor Supervisor, VIP Waiter/Waitress",Kenya,United Arab Emirates,5+ years,"English, Swahili","Communication Skills, Computing Skills, Confidence, Flexibility, Leadership  Skills, Marketing Skills, Proactive, Work Under  Pressure",10/24/2017,06/23/2020
192051,27,Male,"Butler, Floor Supervisor, VIP Waiter/Waitress",Morocco,United Arab Emirates,5+ years,"Arabic, English, French","Adaptability, Communication Skills, Confidence, Creativity, Flexibility, Language Skills, Leadership  Skills, Organisation Skills",11/16/2019,06/23/2020
127121,30,Male,Waiter /Waitress,Kenya,United Arab Emirates, 4 years,"English, Swahili","Adaptability, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, Language Skills, Leadership  Skills, Management Skills, Marketing Skills, Negotiation Skills, Organisation Skills, Perseverance, Persuading, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",11/25/2018,06/23/2020
241802,30,Female,"Personal Assistant, General Manager, Guest Relations Agent, Guest Relations Manager",United Kingdom,United Arab Emirates,10+ years,"English, Spanish",,06/08/2020,06/23/2020
206407,29,Male,"Waiter /Waitress, Personal Assistant, Customer Service, VIP Waiter/Waitress",Nigeria,United Arab Emirates,2 years,English,"Adaptability, Communication Skills, Computing Skills, Confidence, Decision Making, Self Motivated, Team Work Skills",02/19/2020,06/23/2020
162928,32,Male,"Waiter /Waitress, Personal Assistant, Butler, Floor Supervisor, VIP Waiter/Waitress",Egypt,United Arab Emirates,5+ years,"English, French","Communication Skills, Flexibility, Leadership  Skills, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure",07/20/2019,06/23/2020
188141,27,Male,"Waiter /Waitress, Receptionist, Barista, Cocktail Waiter/Waitress, VIP Waiter/Waitress",Albania,United Arab Emirates,5+ years,"Albanian, Arabic, English, Greek, Italian","Communication Skills, Computing Skills, Creativity, Flexibility, Language Skills, Leadership  Skills, Organisation Skills, Team Work Skills, Work Under  Pressure",10/30/2019,06/23/2020
233971,27,Female,"Host/Hostess, Bartender / Barmaid, Waiter /Waitress, Assistant Club Manager, Head Host/Hostess, Promoter",Kenya,United Arab Emirates,3 years,"English, German, Swahili","Communication Skills, Computing Skills, Confidence, Creativity, Flexibility, Interpersonal Skills, IT Skills, Language Skills, Leadership  Skills, Management Skills, Negotiation Skills, Organisation Skills, Problem Solving, Self Motivated, Team Work Skills, Technical Skills, Time Management, Work Under  Pressure, Written Communication",05/18/2020,06/23/2020
145419,24,Male,"Bar Supervisor, Bartender / Barmaid, Cabin Crew, Floor Supervisor, VIP Waiter/Waitress, Waiter /Waitress",Ghana,United Arab Emirates,5+ years,English,"Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Leadership  Skills, Proactive, Self Motivated, Team Work Skills, Work Under  Pressure",03/28/2019,06/23/2020
245113,29,Female,"Personal Assistant, Club Manager, Door Manager, HR executive, Marketing Executive, Marketing Manager",United Kingdom,United Arab Emirates,10+ years,English,"Communication Skills, Confidence, Creativity, Decision Making, Flexibility, Leadership  Skills, Management Skills, Marketing Skills, Negotiation Skills, Numeracy Skills, Organisation Skills, Problem Solving, Self Motivated, Team Work Skills, Time Management, Written Communication",06/16/2020,06/23/2020
42733,38,Male,"Front Of The House Manager, General Manager, HR Manager, Marketing Manager, Operations Manager",Lebanon,United Arab Emirates,10+ years,"Arabic, English, French","Communication Skills, Computing Skills, Creativity, Leadership  Skills, Management Skills, Marketing Skills, Technical Skills",04/19/2015,06/23/2020
161800,25,Female,"Host/Hostess, VIP Waiter/Waitress, Waiter /Waitress",Uzbekistan,United Arab Emirates, 4 years,"Chinese, Simplified, English, Russian, Turkmen, Uzbek","Adaptability, Creativity, Flexibility, Language Skills, Self Motivated, Team Work Skills, Work Under  Pressure",07/15/2019,06/23/2020
147278,26,Male,"Host/Hostess, Waiter /Waitress, Sales, Floor Supervisor, Retail Sales Executive",Albania,United Arab Emirates, 4 years,"Albanian, English, German","Adaptability, Commercial Awareness, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, Language Skills, Leadership  Skills, Management Skills, Marketing Skills, Negotiation Skills, Organisation Skills, Perseverance, Persuading, Proactive, Problem Solving, Self Motivated, Team Work Skills, Technical Skills, Time Management, Work Under  Pressure, Written Communication",04/11/2019,06/23/2020
73308,32,Female,Administrations,Latvia,United Arab Emirates,10+ years,"English, French, German, Latvian, Russian, Spanish","Adaptability, Communication Skills, Confidence, Creativity, Decision Making, Flexibility, Language Skills, Leadership  Skills, Management Skills, Negotiation Skills, Organisation Skills, Proactive, Problem Solving, Self Motivated, Work Under  Pressure",08/10/2017,06/23/2020
113839,25,Male,Waiter /Waitress,Uganda,United Arab Emirates,5+ years,English,"Adaptability, Commercial Awareness, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, IT Skills, Language Skills, Leadership  Skills, Management Skills, Organisation Skills, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",09/07/2018,06/23/2020
247979,29,Female,"Personal Assistant, Receptionist, Customer Service, HR coordinator, Marketing Coordinator, Sales Coordinator",Uganda,United Arab Emirates,5+ years,"English, Swahili",,06/23/2020,06/23/2020
95809,34,Male,"Assistant General Manager, General Manager, Restaurant Manager",Italy,United Arab Emirates,10+ years,English,"Adaptability, Communication Skills, Confidence, Creativity, Decision Making, Flexibility, Leadership  Skills, Management Skills, Marketing Skills, Negotiation Skills, Organisation Skills, Persuading, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",03/12/2018,06/23/2020
247975,34,Male,Chef,France,United Arab Emirates,20+ years,"English, French",,06/23/2020,06/23/2020
140927,24,Male,"Assistant Restaurant Manager, Bar Manager, Bar Supervisor, Floor Manager, Floor Supervisor, VIP Waiter/Waitress",Ukraine,United Arab Emirates,5+ years,"English, Russian, Ukrainian","Flexibility, Language Skills, Leadership  Skills, Management Skills, Problem Solving, Team Work Skills",02/24/2019,06/23/2020
103831,23,Male,"Assistant Restaurant Manager, Restaurant Manager, VIP Waiter/Waitress",Jamaica,United Arab Emirates,3 years,English,"Communication Skills, Computing Skills, Confidence, Flexibility, IT Skills, Self Motivated",07/05/2018,06/23/2020
193715,24,Female,"Host/Hostess, Personal Assistant, Receptionist, Brand ambassador, Head Host/Hostess, Reservations",United Kingdom,United Kingdom,3 years,English,"Adaptability, Communication Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, Organisation Skills, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure",11/24/2019,06/23/2020
144189,28,Male,Floor Supervisor,Uzbekistan,United Arab Emirates,5+ years,"English, Russian, Turkish","Communication Skills, Computing Skills, Confidence, Creativity, Flexibility, Language Skills, Leadership  Skills, Management Skills, Problem Solving",03/19/2019,06/23/2020
234081,32,Male,"Chef, Executive Chef, Sous Chef",Mexico,United Arab Emirates,10+ years,"English, Spanish","Adaptability, Communication Skills, Confidence, Creativity, Decision Making, Leadership  Skills, Management Skills, Organisation Skills, Proactive, Self Motivated, Time Management",05/19/2020,06/23/2020
197034,31,Female,"Host/Hostess, Waiter /Waitress, Personal Assistant, Receptionist, Administrations",Spain,Spain,5+ years,"English, Spanish","Adaptability, Communication Skills, Computing Skills, Confidence, Flexibility, Interpersonal Skills, Perseverance, Problem Solving, Self Motivated, Team Work Skills, Work Under  Pressure, Written Communication",12/13/2019,06/23/2020
108925,28,Female,"Host/Hostess, Assistant Reservation Manager, Head Host/Hostess, Reservations",Ukraine,United Arab Emirates,5+ years,"English, Russian, Ukrainian","Adaptability, Communication Skills, Computing Skills, Flexibility, Interpersonal Skills, Numeracy Skills, Organisation Skills, Problem Solving, Self Motivated, Team Work Skills, Work Under  Pressure",08/14/2018,06/23/2020
204964,24,Male,"Personal Assistant, Sales, Cabin Crew, Customer Service, Real Estate Agent, Social Media Expert",Albania,United Arab Emirates, 4 years,"Albanian, Arabic, English, German, Turkish","Communication Skills, Interpersonal Skills, IT Skills, Language Skills, Marketing Skills, Organisation Skills, Problem Solving, Team Work Skills, Work Under  Pressure, Written Communication",02/08/2020,06/23/2020
